Date (MM/DD),Year,Brand/Topic,Headline,Ready-to-Post Caption,Photo Suggestion,Source
02/24,1839,Excavators,First U.S. excavator patent (Otis steam shovel),"📅 On this day in 1839... the first U.S. patent for a steam-powered excavator was granted to William Otis of Philadelphia for a 'crane excavator for excavating and removing earth.' Every hydraulic excavator on a job site today is a descendant of that machine. From hand shovels to hydraulic excavators, it's all about moving material efficiently — which is exactly what we do with every load of RCC. 🚜",Stock/archive photo of an excavator loading RCC,https://en.wikipedia.org/wiki/William_Otis
04/15,1925,Caterpillar,Caterpillar Inc. founded,"📅 On this day in 1925... Holt Manufacturing Co. and C.L. Best Tractor Co. merged to form Caterpillar Inc., uniting two rival tractor makers into the company that would go on to define earthmoving for the next century. Cat dozers and loaders move a lot of RCC across our yards every week. 🟡",Yard photo of a Cat dozer/loader pushing RCC,https://www.caterpillar.com/en/company/history/history-timeline.html
05/06,1991,Caterpillar,Caterpillar joins the Dow Jones Industrial Average,"📅 On this day in 1991... Caterpillar joined the Dow Jones Industrial Average, replacing Navistar International. A reminder that heavy equipment isn't just iron and dirt — it's a cornerstone of the American economy.",Stock photo of Cat equipment lineup,https://www.zippia.com/caterpillar-careers-2138/history/
05/13,1921,Komatsu,Komatsu founded,"📅 On this day in 1921... Komatsu Ltd. was founded in Komatsu City, Japan, starting out as a maker of cast-iron tools and mining equipment. Over 100 years later, it's one of the biggest names in excavators and dozers worldwide.",Stock photo of a Komatsu excavator/dozer,https://www.komatsu.com/en-us/blog/2021/our-origin-story
06/15,1858,Crushing,Jaw crusher patented (Eli Whitney Blake),"📅 On this day in 1858... Eli Whitney Blake of New Haven, CT was granted U.S. Patent No. 20,542 for his 'machine for crushing stone' — the first practical jaw crusher. The toggle-jaw design he patented is still the basic blueprint for jaw crushers used today, including the ones that turn demolition concrete into the RCC we deliver across PA, NJ, and DE. 🪨",Photo of crusher/crushing operation at the yard,https://www.invent.org/inductees/eli-whitney-blake
07/07,1902,Cranes,Manitowoc Company founded,"📅 On this day in 1902... the Manitowoc Company was founded in Manitowoc, Wisconsin as a shipbuilding operation. It later became one of the world's leading crane manufacturers — the same type of cranes used on demolition and concrete recycling sites today.",Stock photo of a crawler crane on a demo site,https://en.wikipedia.org/wiki/The_Manitowoc_Company
07/11,1931,Trucks,Euclid Road Machinery incorporated,"📅 On this day in 1931... Euclid Road Machinery Co. was incorporated in Ohio, helping pioneer the off-highway dump truck. Without haul trucks like these, modern crushing and aggregate operations couldn't move material at scale. 🚛",Yard photo of a dump truck being loaded with RCC,https://en.wikipedia.org/wiki/Euclid_Trucks
09/01,1905,Kobelco,Kobe Steel founded,"📅 On this day in 1905... Kobe Steel Ltd. was founded in Japan. Decades later, its construction machinery division would spin off and become Kobelco, now a major excavator manufacturer worldwide.",Stock photo of a Kobelco excavator,https://www.kobelcocm-global.com/company/history/index.html
09/23,1911,Mack Trucks,Roots of Mack Trucks formed,"📅 On this day in 1911... Saurer Motor Truck Co. merged with Mack Brothers Motor Car Co. to form the International Motor Truck Company — the roots of Mack Trucks, headquartered just up the road in Allentown, PA. Our RCC moves on trucks built tough like these every single day. 🚚",Photo of a tri-axle dump truck loaded with RCC,https://en.wikipedia.org/wiki/Mack_Trucks
09/25,2013,Trucks,World's largest dump truck unveiled (BelAZ 75710),"📅 On this day in 2013... BelAZ unveiled the 75710 in Belarus — the largest dump truck ever built, with a payload capacity of about 450 tons. Our trucks aren't quite that big, but the job is the same: move heavy material, efficiently. 😄",Side-by-side meme-style comparison or yard truck photo,https://en.wikipedia.org/wiki/BelAZ_75710
10/01,1970,Hitachi,Hitachi Construction Machinery established,"📅 On this day in 1970... Hitachi Construction Machinery Co., Ltd. was formally established in Japan, growing into one of the largest excavator manufacturers in the world.",Stock photo of a Hitachi excavator,https://www.hitachicm.com/global/en/corporate/history/
10/23,1945,JCB,JCB founded,"📅 On this day in 1945... Joseph Cyril Bamford founded JCB in a 12x15-foot rented garage in Uttoxeter, England — the same day his son Anthony was born. Eight years later, JCB invented the modern backhoe loader, the machine that could dig AND load, changing construction forever. 🟡",Stock photo of a JCB backhoe loader,https://monkjcb.com/jcb-story/
11/15,recurring,Recycling,America Recycles Day,"📅 Today is America Recycles Day, a national observance recognized by the EPA every November 15. Every ton of Recycled Crushed Concrete (RCC) we process is concrete that didn't end up in a landfill — recycling on a massive scale, every single day. ♻️",Photo of an RCC stockpile at one of our yards,https://www.epa.gov/circulareconomy/america-recycles-day
11/24,1904,Caterpillar,Origin of the 'Caterpillar' name,"📅 On this day in 1904 (Thanksgiving Day)... Benjamin Holt demonstrated the first successful track-type tractor in a peat field near Stockton, CA. Watching it crawl along on its tracks, a photographer remarked it moved 'just like a caterpillar' — and the name stuck, eventually becoming the most famous brand in construction equipment. 🐛➡️🚜",Stock/archive photo of a vintage Holt/Caterpillar crawler tractor,https://www.asme.org/about-asme/engineering-history/landmarks/60-holt-caterpillar-tractor
